longitude,latitude,light_intensity,geometry,index_right,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,country
35.36250172290001,32.5499996604,0,POINT (35.36250172290001 32.5499996604),3070742.0,1221122302322323.0,44470.0,3821.0,13.0,2.0,1.0,P.S.E
35.42916839010001,32.5499996604,0,POINT (35.42916839010001 32.5499996604),3070757.0,1221122302332223.0,147665.0,188748.0,11.0,2.0,1.0,P.S.E
35.433335056800004,32.5499996604,0,POINT (35.433335056800004 32.5499996604),3070759.0,1221122302332232.0,19321.0,14221.0,21.0,4.0,3.0,P.S.E
35.03750172030001,32.5458329937,0,POINT (35.03750172030001 32.5458329937),3066944.0,1221122231101010.0,50515.0,10073.0,17.0,2.0,1.0,P.S.E
35.15416838790001,32.5458329937,0,POINT (35.15416838790001 32.5458329937),3067005.0,1221122231111111.0,26129.0,7637.0,14.0,23.0,7.0,P.S.E
35.15833505460001,32.5458329937,0,POINT (35.15833505460001 32.5458329937),3071492.0,1221122320000000.0,50658.0,87505.0,8.0,11.0,3.0,P.S.E
35.17083505470001,32.5458329937,0,POINT (35.17083505470001 32.5458329937),3071495.0,1221122320000010.0,22358.0,3208.0,9.0,1.0,1.0,P.S.E
35.17500172140001,32.5458329937,0,POINT (35.17500172140001 32.5458329937),3071496.0,1221122320000011.0,43624.0,1897.0,11.0,2.0,1.0,P.S.E
35.17916838810001,32.5458329937,0,POINT (35.17916838810001 32.5458329937),3071502.0,1221122320000100.0,41772.0,5021.0,10.0,5.0,3.0,P.S.E
35.18333505480001,32.5458329937,0,POINT (35.18333505480001 32.5458329937),3071502.0,1221122320000100.0,41772.0,5021.0,10.0,5.0,3.0,P.S.E
35.187501721500006,32.5458329937,0,POINT (35.187501721500006 32.5458329937),3071503.0,1221122320000101.0,13573.0,1563.0,18.0,10.0,3.0,P.S.E
35.19583505490001,32.5458329937,0,POINT (35.19583505490001 32.5458329937),3071505.0,1221122320000111.0,24190.0,1861.0,18.0,6.0,4.0,P.S.E
35.20000172160001,32.5458329937,0,POINT (35.20000172160001 32.5458329937),3071505.0,1221122320000111.0,24190.0,1861.0,18.0,6.0,4.0,P.S.E
35.262501722100005,32.5458329937,0,POINT (35.262501722100005 32.5458329937),3071521.0,1221122320010011.0,189905.0,5109.0,14.0,1.0,1.0,P.S.E
35.26666838880001,32.5458329937,0,POINT (35.26666838880001 32.5458329937),3071525.0,1221122320010100.0,17962.0,3181.0,9.0,15.0,1.0,P.S.E
35.27083505550001,32.5458329937,0,POINT (35.27083505550001 32.5458329937),3071525.0,1221122320010100.0,17962.0,3181.0,9.0,15.0,1.0,P.S.E
35.300001722400005,32.5458329937,0,POINT (35.300001722400005 32.5458329937),3071528.0,1221122320011010.0,21964.0,1605.0,11.0,5.0,2.0,P.S.E
35.304168389100006,32.5458329937,0,POINT (35.304168389100006 32.5458329937),3071528.0,1221122320011010.0,21964.0,1605.0,11.0,5.0,2.0,P.S.E
35.31250172250001,32.5458329937,0,POINT (35.31250172250001 32.5458329937),3071529.0,1221122320011100.0,86128.0,4008.0,18.0,23.0,1.0,P.S.E
35.35416838950001,32.5458329937,0,POINT (35.35416838950001 32.5458329937),3071581.0,1221122320100100.0,9782.0,4895.0,21.0,1.0,1.0,P.S.E
35.358335056200005,32.5458329937,0,POINT (35.358335056200005 32.5458329937),3071581.0,1221122320100100.0,9782.0,4895.0,21.0,1.0,1.0,P.S.E
35.36250172290001,32.5458329937,0,POINT (35.36250172290001 32.5458329937),3071582.0,1221122320100101.0,243932.0,10349.0,13.0,1.0,1.0,P.S.E
34.91250171930001,32.541666327,0,POINT (34.91250171930001 32.541666327),3066721.0,1221122231010013.0,41418.0,5416.0,8.0,1.0,1.0,P.S.E
35.14166838780001,32.541666327,0,POINT (35.14166838780001 32.541666327),3067004.0,1221122231111103.0,20963.0,2681.0,17.0,20.0,5.0,P.S.E
